language_code,text_reviews_count,average_rating,description,authors,publication_year,book_id,ratings_count,work_id,title,title_without_series,isbn,isbn13,image_url
eng,1,3.57,"Taking on task after task in her willingness to please the well-paying Cheplin family, baby-sitter Stacey experiences an elated sense of achievement, until her jobs interfere with the rest of her schedule.","[{'author_id': '21616', 'role': ''}]",2014.0,23120342,11,2162300,"Stacey McGill, Super Sitter (The Baby-Sitters Club, #94)","Stacey McGill, Super Sitter (The Baby-Sitters Club, #94)",,,https://images.gr-assets.com/books/1423846427m/23120342.jpg
eng,26,4.22,"""Roald Dahl sometimes shared a tonal kinship with Ogden Nash, and he could demonstrate a verbal inventiveness nearly Seussian...[His] stories work better in audio than in print."" -The New York Times
Captured by a giant!
The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants--rather than the BFG--she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!Soon to be a Steven Spielberg film!","[{'author_id': '4273', 'role': ''}, {'author_id': '146', 'role': 'Illustrations'}, {'author_id': '313653', 'role': 'Reading'}]",2013.0,17415176,104,1249788,The BFG,The BFG,1611761883,9781611761887,https://images.gr-assets.com/books/1381301986m/17415176.jpg
eng,10,3.87,Once upon a time there was a little squeegy bug. No one knew where he came from. He wasn't an ant. He wasn't a cricket. And he certainly wasn't a flea. What was he? Follow along with lovable bug that tries to discover his true identity.,"[{'author_id': '5086768', 'role': ''}, {'author_id': '59225', 'role': ''}, {'author_id': '1307806', 'role': 'Illustrator'}]",2005.0,228100,49,220924,The Little Squeegy Bug,The Little Squeegy Bug,0761452435,9780761452430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,5,4.49,"My name is Jonah Johnson, and I'm in the 6th grade -- but please call me Joe. My whole world just got turned upside down. There's a talking fox that keeps getting me into trouble at my new house in the country. I know it sounds crazy, but it's true! And there's a mean old chicken that throws rotten eggs! To top it all off, I've got to deal with the school bully and help save my mom's new house!
My Fox Ate My Homework is a hilarious adventure fantasy that's entertaining for children of all ages, and adults!","[{'author_id': '16053757', 'role': ''}]",2016.0,32855948,69,53458674,"My Fox Ate My Homework (My Fox, #1)","My Fox Ate My Homework (My Fox, #1)",,,https://images.gr-assets.com/books/1478052843m/32855948.jpg
eng,7,3.85,"Scholastic Reader Level 3
A brand-new reader for the 100th anniversary of the sinking of the Titanic.
On April 10, 1912, the TITANIC set sail. On April 15, 1912, the great ship sank. This simple reader tells the story of the TITANIC for the 100th anniversary of its tragic voyage. Find out what life was like aboard the ship and meet some of the passengers and the crew. Read about Robert Ballard's triumphant discovery of the wreck 73 years later and what's been discovered since. Full-color photographs throughout and clearly leveled text make history come alive for younger readers.","[{'author_id': '135559', 'role': ''}]",2012.0,12478778,43,17463234,Remembering the Titanic,Remembering the Titanic,0545358442,9780545358446,https://images.gr-assets.com/books/1328836449m/12478778.jpg
eng,11,4.01,"From the acclaimed author of The Lemonade Warcomes a new book starring two smart girls determined to liven up their town--one epic prank at a time.
Odawahaka has always been too small for Maggie's big scientific ideas. Between her stuck-in-a-rut mom, her grumpy grandpop, and the lifetime supply of sludgy soda in the fridge, it's hard for Maggie to imagine a change.
But when Lena moves in with her creative spirit and outrageous perspective, middle school takes off with a bang. Someone starts pulling the kind of pranks that send their rule-loving new principal into an uproar--complete with purple puffs of smoke, parachuting mice, and a scavenger hunt that leads to secret passageways. Suddenly the same-old football games, election for class president, and embarrassing stories feel almost exciting. And for the first time in her life, Maggie begins to wonder if there might be more to Odawahaka than she ever saw coming!
Humorous, smart, and full of small-town heart, Nothing But Troublewill have mischief-loving readers caught up in the cleverness and determination of two girls who can't be held down.","[{'author_id': '172852', 'role': ''}]",2016.0,28448242,33,48571532,Nothing but Trouble,Nothing but Trouble,0062369881,9780062369888,https://images.gr-assets.com/books/1457117055m/28448242.jpg
eng,1925,4.36,"""The Grinch hated Christmas! The whole Christmas season!
Now, please don't ask why. No one quite knows the reason.""
Dr. Seuss's small-hearted Grinch ranks right up there with Scrooge when it comes to the crankiest, scowling holiday grumps of all time. For 53 years, the Grinch has lived in a cave on the side of a mountain, looming above the Whos in Whoville. The noisy holiday preparations and infernal singing of the happy little citizens below annoy him to no end. The Grinch decides this frivolous merriment must stop. His ""wonderful, awful"" idea is to don a Santa outfit, strap heavy antlers on his poor, quivering dog Max, construct a makeshift sleigh, head down to Whoville, and strip the chafingly cheerful Whos of their Yuletide glee once and for all.
Looking quite out of place and very disturbing in his makeshift Santa get-up, the Grinch slithers down chimneys with empty bags and stealing the Whos' presents, their food, even the logs from their humble Who-fires. He takes the ramshackle sleigh to Mt. Crumpit to dump it and waits to hear the sobs of the Whos when they wake up and discover the trappings of Christmas have disappeared. Imagine the Whos' dismay when they discover the evil-doings of Grinch in his anti-Santa guise. But what is that sound? It's not sobbing, but singing! Children simultaneously adore and fear this triumphant, twisted Seussian testimonial to the undaunted cheerfulness of the Whos, the transcendent nature of joy, and of course, the growth potential of a heart that's two sizes too small.
This holiday classic is perfect for reading aloud to your favorite little Whos.","[{'author_id': '61105', 'role': ''}]",2004.0,113946,256080,267076,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,0007173040,9780007173044,https://images.gr-assets.com/books/1327958149m/113946.jpg
eng,3,4.01,"Shirley is in bed and Jem and Walter and the twins are down in their beloved Rainbow Valley, said Anne. ""They just came home this afternoon, you know, and they could hardly wait until supper was over before rushing down to the valley. They love it above every spot on earth. Even the maple grove doesn't rival it in their affections.""","[{'author_id': '5350', 'role': ''}]",1985.0,65801,31,7071165,"Rainbow Valley (Anne of Green Gables, #7)","Rainbow Valley (Anne of Green Gables, #7)",0553252135,9780553252132,https://images.gr-assets.com/books/1335647354m/65801.jpg
eng,2,3.95,"History with the nasty bits left in!
The Cut-throat Celts gives you the ghastly truth about the wild warrior race who weren't afraid to fight the Rotten Romans... and who had the horrible habit of collecting human heads.
Want to know:
- why weird Celt warriors fought with no clothes on?
- how to preserve your enemy's brain?
- why the Celts laughed at funerals?
Read on for some gory stories about suffering saints, gruesome games for Celtic kids, and find out abou tthe dreadful Druids","[{'author_id': '10038', 'role': ''}]",,21947975,2,413020,The Cut-throat Celts,The Cut-throat Celts,,9781407106700,https://images.gr-assets.com/books/1474110710m/21947975.jpg
eng,6,4.06,"When Christina is sent to live in the grand country house, Flambards, she doesn't know what to expect. Once there, she meets two young men, Mark and Will, trying to cope with their bad-tempered father. She also discovers a passion for horse-riding and a love for life in the country. As time goes by Christina begins to embrace her new life and all the social engagements that it involves, but with both brothers vying for her attention Christina knows it's just a matter of time before she has to choose . . .
A welcome reissue of this much-loved family saga.","[{'author_id': '157708', 'role': ''}]",2014.0,20798206,25,2071224,"Flambards (Flambards, #1)","Flambards (Flambards, #1)",019273637X,9780192736376,https://images.gr-assets.com/books/1392203202m/20798206.jpg
eng,11,4.63,"Are you ready to take to the skies? Then welcome to Angelic Airlines! Come join the adventures of Captain Frankie and the Angelic Airlines flying angel as they travel across the world to some of the most popular, entertaining, and educational places in the world. Captain Frankie is waiting for you to book your ticket, safely stow your bags, and open your eyes to the beautiful places created for all of us to visit in My First Travel Book.","[{'author_id': '7108778', 'role': ''}]",2014.0,17991046,87,25227396,My First Travel Angelic Airline Adventures,My First Travel Angelic Airline Adventures,,,https://images.gr-assets.com/books/1369825698m/17991046.jpg
eng,25,3.85,"Kayleigh loves the circus. But when she and her friend, Andy, visit the annual carnival they stumble upon a terrible plan. And it all begins with the Klowns!","[{'author_id': '22105', 'role': ''}]",,1355976,260,1345694,"Kreepy Klowns of Kalamazoo (Michigan Chillers, #7)","Kreepy Klowns of Kalamazoo (Michigan Chillers, #7)",1893699137,9781893699137,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,12,3.91,"This title contains fascinating facts about Bill the Conquerer and his bully boys who battled at Hastings, stormed around Europe and joined the Crusades. There are tales of limb-chopping, terribly tortured saints and you can find out what ""really"" happened in 1066.","[{'author_id': '10038', 'role': ''}, {'author_id': '16544130', 'role': 'Illustrator'}]",,120945,533,116460,The Stormin' Normans,The Stormin' Normans,0439954363,9780439996099,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,107,3.97,,"[{'author_id': '731852', 'role': ''}]",,5078839,1015,5145549,The Potato Chip Puzzles (The Puzzling World of Winston Breen #2),The Potato Chip Puzzles (The Puzzling World of Winston Breen #2),0399251987,9780399251986,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,7,4.4,Fourth Grade Reader in Alice and Jerry Series,"[{'author_id': '188807', 'role': ''}]",1940.0,15817860,24,21545217,Singing Wheels,Singing Wheels,,B000K2OE96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,2,4.0,"'A Christmas Hamper' is a volume of pictures and stories for little folks. It tells children about friendship, the family values and the winter traditions, such as winter plays, the Christmas legends and fairies.
'A Christmas Hamper' was originally published by Thomas Nelson & Sons in 1899.
The 'Animedia Press' e-book edition (2012) contains the illustrations, which were carefully restored by a publisher.","[{'author_id': '5158478', 'role': ''}]",2012.0,16166469,4,22011203,A Christmas Hamper,A Christmas Hamper,,,https://images.gr-assets.com/books/1353684274m/16166469.jpg
en-GB,40,3.84,,"[{'author_id': '303389', 'role': 'Adapted By'}, {'author_id': '930280', 'role': 'Illustrator'}, {'author_id': '10665', 'role': ''}]",2009.0,6266717,454,19262548,"The Boxcar Children (The Boxcar Children Graphic Novels, #1)","The Boxcar Children (The Boxcar Children Graphic Novels, #1)",0807528676,9780807528679,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,2,3.69,The lion's courtiers persuade him to try camel meat but the results are unexpected.,"[{'author_id': '490886', 'role': ''}, {'author_id': '490885', 'role': 'Illustrator'}]",,7296318,2,956646,The King's Choice,The King's Choice,081930364X,9780819303646,https://images.gr-assets.com/books/1421430665m/7296318.jpg
en-US,36,3.87,"What's the best time of day for reading? Well, for Baby Bear it's all day long. From the first wild wake-up book to the last gentle sleepy-time book--and all the adventures in between--each book takes Baby Bear somewhere new and exciting.
In this companion to Baby Bear's Chairs, bestselling author Jane Yolen and award-winning illustrator Melissa Sweet have created a celebration of little bears everywhere, their beloved books, and their carefree imaginations.","[{'author_id': '5989', 'role': ''}, {'author_id': '427613', 'role': 'Illustrator'}]",2006.0,122132,254,117576,Baby Bear's Books,Baby Bear's Books,0152052909,9780152052904,https://images.gr-assets.com/books/1328875735m/122132.jpg
eng,14,4.05,"""This Fox is a tricky fox. He'll try to get your tongue in trouble."" Dr. Seuss gives fair warning to anyone brave enough to read along with the Fox in Socks, who likes to play tongue-twisting games with his friend Mr. Knox. ""Here's an easy game to play. Here's an easy thing to say.... New socks. Two socks. Whose socks? Sue's socks."" But Mr. Fox Socks isn't about to let Knox off so easy. Soon Goo-Goose is choosing to chew chewy gluey blue goo, while tweetle beetles battle with paddles in a puddle (in case you were wondering, that's called a ""tweetle beetle puddle paddle battle""). Mr. Knox gets exasperated: ""I can't blab such blibber blubber! My tongue isn't made of rubber."" But he catches on to the game before it's all through. One of Seuss's best, this must-read-aloud classic is guaranteed to get many giggles out of readers young and old. (Ages 4 to 8) --Paul Hughes","[{'author_id': '61105', 'role': ''}]",,8240868,140,2736849,Fox in Sox (Printed for Kohl's by Random House Children's Books),Fox in Sox (Printed for Kohl's by Random House Children's Books),0375844864,9780375844867,https://images.gr-assets.com/books/1428796905m/8240868.jpg
eng,2,3.62,"First a mysterious shamrock appears on Miss Wink's front door. Then Kate and Mickey find the sign on their new clubhouse: ""The Green Shamrock Gang Was Here."" Something very strange is going on in Springvale - a real challenge for the Dixon twins' talents. Mickey Dixon wants to be a sleuth like Sherlock Holmes when she grows up. Kate hopes to be a famous scientist. Together, they make a great detective team. But this case is different from any of their other adventures and it takes both twins' skills to solve the mystery. Before the busy St. Patrick's Day ends, the twins make some surprising discoveries and, best of all, have a new friend.","[{'author_id': '1006140', 'role': ''}, {'author_id': '3458778', 'role': 'Illustrations'}]",1995.0,4473870,8,4522139,The St. Patrick's Day Shamrock Mystery,The St. Patrick's Day Shamrock Mystery,0395721377,9780395721377,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,2,3.99,,"[{'author_id': '72120', 'role': ''}]",,2356423,26,2363164,Peter Duck,Peter Duck,0140303405,9780140303407,https://images.gr-assets.com/books/1313543517m/2356423.jpg
eng,127,3.64,"Wake up with a pair of sleepy dragons and the knight who must get them ready for school!
Dragons wake up, 
Dragons rise, 
Dragons open 
Dragon eyes.
From tumbling out of their humongous blankets to devouring a breakfast of catapulted waffles, these characters and their loveable antics fill the pages with luminous color and dragon-size fun. A joyful collaboration between two bestselling talents, author Jane Yolen and illustrator Derek Anderson, this book will make any young reader fly out of bed.","[{'author_id': '5989', 'role': ''}, {'author_id': '525151', 'role': 'Illustrations'}]",2012.0,13547522,704,19112662,Waking Dragons,Waking Dragons,1416990321,9781416990321,https://images.gr-assets.com/books/1337194531m/13547522.jpg
eng,2,3.67,"The ancient folklore of the Jackalope - a horned superhero - comes to life in the story of Check-mas, a New Year's celebration that inspires gratefulness, kindness and happiness.
This enhanced edition includes the following interactive elements:
animation, audio, sing-along music, video and list making.","[{'author_id': '14668323', 'role': ''}]",2015.0,27803151,3,47782567,T'was a Jackalope: A New Year's Tradition,T'was a Jackalope: A New Year's Tradition,,,https://images.gr-assets.com/books/1447278228m/27803151.jpg
eng,5,4.02,"One of Neil Gaiman's favourite scary stories for children. Set within a world of sorcery and wizardry, much like an 18th Century Harry Potter, Krabat tells the story of a 14-year-old beggar boy lured to a mysterious mill by a series of frightening dreams and apparitions. He becomes an apprentice to the master of the watermill where he joins the eleven other young journeymen who work there. Much to his surprise Krabat soon discovers that the mill is actually a school of black magic and he is expected to learn much more than just a normal miller's trade. Krabat studies hard and becomes the master's star pupil, but when he falls for a local village girl the depth of the masters evil and the darker secrets of the mill begin to reveal themselves. One by one his fellow classmates perish from mysterious, unexplained accidents and Krabat realises he must use all of the dark magic skills he has learned to secure his escape. Now a major motion picture starring David Kross (The Reader, War Horse).","[{'author_id': '127314', 'role': ''}]",,18947101,10,675181,Krabat,Krabat,,9780007395125,https://images.gr-assets.com/books/1408927513m/18947101.jpg
eng,1,3.57,"Here's another adventure of Mr McGee, this time with elephants, one, two and three.
A chance to perform and share the fun, so come and join in everyone.
From the one-and-only Pamela Allen comes a new adventure in the life of loveable Mr McGee. With its jaunty rhyme and lively illustrations, this is Pam at her classic best.","[{'author_id': '182199', 'role': ''}]",2012.0,18086464,21,25399353,Mr McGee and the Elephants,Mr McGee and the Elephants,0670076511,9780670076512,https://images.gr-assets.com/books/1371552839m/18086464.jpg
eng,150,4.34,"Alternate-cover 25th Anniversary reissue edition can be found 
Last night while I lay thinking here
Some Whatifs crawled inside my ear
And pranced and partied all night long
And sang their same old Whatif song:
Whatif I flunk that test?
Whatif green hair grows on my chest?
Whatif nobody likes me?
Whatif a bolt of lightning strikes me?...
Here in the attic of Shel Silverstein you will find Backward Bill, Sour Face Ann, the Meehoo with an Exactlywatt, and the Polar Bear in the Frigidaire. You will talk with Broiled Face, and find out what happens when Somebody steals your knees, you get caught by the Quick-Digesting Gink, a Mountain snores, and They Put a Brassiere on the Camel.
From the creator of the beloved poetry collections Where the Sidewalk Endsand Falling Up, here is another wondrous book of poems and drawings.","[{'author_id': '435477', 'role': ''}]",1981.0,240007,4305,142009,A Light in the Attic,A Light in the Attic,0060256737,9780060256739,https://images.gr-assets.com/books/1484359395m/240007.jpg
eng,9,4.18,,"[{'author_id': '16628', 'role': ''}]",2011.0,13362663,228,671846,"The Black Stallion (The Black Stallion, #1)","The Black Stallion (The Black Stallion, #1)",,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,2,3.71,"""One of the greatest pleasures of this impressive collection of 12 Russian fables is Lobel's sophisticated artwork. She outdoes herself with watercolor-and-gouache paintings that are brilliantly colored and wonderfully composed. The details are just right....Heins' prose retellings of poems by Ivan Andreevich Krylov, ""Russia's greatest fabulist,' are elegant. A gem that deserves a place in folklore collections.""--Booklist.","[{'author_id': '996374', 'role': ''}, {'author_id': '7022738', 'role': ''}, {'author_id': '389095', 'role': ''}, {'author_id': '159563', 'role': 'Illustrations'}]",1995.0,1609793,9,25420686,The Cat and the Cook and Other Fables of Krylov,The Cat and the Cook and Other Fables of Krylov,0688123104,9780688123109,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,2,3.44,"Olivia is fast, strong, and can catch. She loves flag football, but the boys won't let her play. Find out if Olivia ever gets to play flag football.","[{'author_id': '90109', 'role': ''}, {'author_id': '3442005', 'role': 'Illustrator'}]",,7795295,10,10761334,The End Zone (My First Graphic Novel),The End Zone (My First Graphic Novel),1434212890,9781434212894,https://images.gr-assets.com/books/1315679163m/7795295.jpg
eng,579,4.17,"Now every kid can write like a Wimpy Kid! An exciting companion to the bestselling Diary of a Wimpy Kid series.
""First of all, let me get something straight: This is a journal, not a diary.""
This innovative interactive journal based on Greg Heffley's own ""diary"" lets kids express themselves in an exciting new way. In Diary of a Wimpy Kid Do-It-Yourself Book, kids will be asked: What was the best dream you ever had? The worst thing you ever ate? The best secret you ever heard? The most trouble you ever got in for something that wasn't even your fault to begin with? This Do-It-Yourself Bookfeatures art throughout, along with ruled and blank pages for readers to create their own stories, keep their own diaries, and record their favorites and least faves. Includes a bonus full-color comics section featuring the collected cartoons of Greg Heffley and his best friend, Rowley.
Includes 16 pages of full-color comics!","[{'author_id': '221559', 'role': ''}]",2008.0,3157876,21361,3189584,Do-It-Yourself Book,Do-It-Yourself Book,0810979772,9780810979772,https://images.gr-assets.com/books/1261505077m/3157876.jpg
en-GB,11,3.85,,"[{'author_id': '21978', 'role': ''}]",,1175215,112,1162986,"Jane and the Chalet School (The Chalet School, #55)","Jane and the Chalet School (The Chalet School, #55)",0006939031,9780006939030,https://images.gr-assets.com/books/1308422445m/1175215.jpg
en-US,37,3.63,"When the sun goes down and everything is wonderfully cold and dark, a vampire boy and a little witch go searching for children in the night.
But this is no ordinary night. It is Halloween, and what they find may surprise them. . . .","[{'author_id': '77051', 'role': ''}]",2010.0,8242295,153,7963983,Vampire Boy's Good Night,Vampire Boy's Good Night,0061140112,9780061140112,https://images.gr-assets.com/books/1274137619m/8242295.jpg
en-US,3,4.02,"For forty years, Reading is Fundamental, the nation's largest nonprofit literacy organization, has been putting books into the hands of children across America.
To commemorate the fortieth anniversary, it has brought together forty of the most beloved children's book illustrators working today and asked them each to reimagine a classic book from their childhood...","[{'author_id': '5775507', 'role': ''}, {'author_id': '22536', 'role': ''}]",2005.0,2900209,21,1225202,The Art of Reading,The Art of Reading,0525474846,9780525474845,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,1,3.98,"Meet Piotr, Minnie, Andrew, Flora and Sylvia +"" true friends and even better mystery-solvers!
Hollywood sensation, Betty Massino, has come to star in the theatre down the road and Piotr and his friends Andrew and Minnie couldn't be more excited! But when the famous actress's hugely expensive diamond necklace goes missing, Piotr's dad, a security guard at the theatre, is a prime suspect. Soon, Piotr faces the very real threat of being sent 'home' to Poland. With the help of Sylvie and her twin sister Flora, can Piotr, Andrew and Minnie solve the crime or will they lose Piotr forever? The first in a fantastic new series filled with friendship, adventure and mystery!
Perfect for fans of Lauren St John, this is THE new mystery adventure series by Waterstones Book Prize shortlisted author Elen Caldecott.","[{'author_id': '2911537', 'role': ''}]",,25020801,7,42798470,Marsh Road Mysteries: Diamonds and Daggers,Marsh Road Mysteries: Diamonds and Daggers,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,25,4.16,"Mr. Putter loves toys. He's old and he knows he shouldn't love them anymore. But he does. His fine cat, Tabby, however, does not. She's especially bothered by toys that fly. So when Mr. Putter brings home a little toy biplane that's supposed to really fly, he and Tabby are in for quite an adventure.","[{'author_id': '5411', 'role': ''}, {'author_id': '191219', 'role': 'Illustrator'}]",1997.0,1813683,329,2985127,Mr. Putter  Tabby Fly the Plane,Mr. Putter  Tabby Fly the Plane,0152562532,9780152562533,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,6,4.16,"Anansi the Spider tricks all the animals, until he's taught a lesson.","[{'author_id': '2602', 'role': ''}, {'author_id': '22372', 'role': ''}]",1988.0,2955464,57,1336391,Anansi and the Moss-Covered Rock,Anansi and the Moss-Covered Rock,082340689X,9780823406890,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,8,4.49,"After decades of hiding, the evil Enchantress who cursed Sleeping Beauty is back with a vengeance.
Alex and Conner Bailey have not been back to the magical Land of Stories since their adventures in The Wishing Spellended. But one night, they learn the famed Enchantress has kidnapped their mother! Against the will of their grandmother, the twins must find their own way into the Land of Stories to rescue their mother and save the fairy tale world from the greatest threat it's ever faced.","[{'author_id': '4919495', 'role': ''}]",,19089237,160,24790180,"The Enchantress Returns (The Land of Stories, #2)","The Enchantress Returns (The Land of Stories, #2)",,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,26,3.83,"The Parade of Books has arrived, and it's Chloe's chance to showcase her crafty costume talents. Leo wants Chloe to be the Frankenstein to his Dracula, and Chloe can't wait to dress like a monster. But when Emma wants to wear Fairy Club costumes instead, Chloe is torn like a scrap of fabric. She doesn't want to disappoint her friends--but how can she possibly please them both? Luckily, a little glitter and a lot of imagination just might give Chloe the answer!","[{'author_id': '223840', 'role': ''}, {'author_id': '677976', 'role': 'Illustrator'}]",2013.0,17377287,169,24168119,Crafty Chloe: Dress-Up Mess-Up,Crafty Chloe: Dress-Up Mess-Up,,9781442421240,https://images.gr-assets.com/books/1365396864m/17377287.jpg
en-GB,3,4.08,,"[{'author_id': '85232', 'role': ''}]",,31696040,17,48451871,Jedi Academy 4: A New Class,Jedi Academy 4: A New Class,1407164783,9781407164786,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-GB,15,3.32,"Everyone keeps talking about holy cows, but nobody wants to discuss the evil, unholy cows. They creep through nighttime pastures, looking for the next opportunity to make the world a worse place to live.
Opal's parents think Halloween is evil and that candy is bad for little children. They have never let her go trick or treating. Opal sits at home with her emo bunny and longs to dress up and ask strangers for candy.
Runyx the Unholy Cow is about to change that. Together with Stryk the Scarecrow and Able the Raven, they spend a night looking for the best houses to get candy bars. There is always mischief to be had along the way.
Caution: This story is not for normal children. If you have any intention of raising a well-adjusted child, this is not the right tale for you.","[{'author_id': '4479427', 'role': ''}]",2011.0,12830258,150,17980369,Unholy Cow,Unholy Cow,,,https://images.gr-assets.com/books/1327947854m/12830258.jpg
eng,22,4.47,"22 Books and 660 Illustrations!
The works of Beatrix Potterare some of the most beloved children's stories of all time. Now enjoy them all in a single, high quality collection at an amazing price.
The convenient table of contents will allow you to jump instantly to any of the 22 books, including timeless characters like Peter Rabbit, Benjamin Bunny, Squirrel Nutkin, and many more.
Any you're sure to love the 660 included illustrations, many in full color. In addition, you'll find a link at the end of this collection to download complete audiobooks of 19 of these timeless stories...perfect for letting kids listen along while they look at the pictures.
Download today! The full list of titles includes:
The Tale of Peter Rabbit (1902)
The Tale of Squirrel Nutkin (1903)
The Tailor of Gloucester (1903)
The Tale of Benjamin Bunny (1904)
The Tale of Two Bad Mice (1904)
The Tale of Mrs. Tiggy-Winkle (1905)
The Tale of the Pie and the Patty-Pan (1905)
The Tale of Mr. Jeremy Fisher (1906)
The Story of A Fierce Bad Rabbit (1906)
The Story of Miss Moppet (1906)
The Tale of Tom Kitten (1907)
The Tale of Jemima Puddle-Duck (1908)
The Tale of Samuel Whiskers or, The Roly-Poly Pudding (1908)
The Tale of the Flopsy Bunnies (1909)
The Tale of Ginger and Pickles (1909)
The Tale of Mrs. Tittlemouse (1910)
The Tale of Timmy Tiptoes (1911)
The Tale of Mr. Tod (1912)
The Tale of Pigling Bland (1913)
Appley Dapply's Nursery Rhymes (1917)
The Tale of Johnny Town-Mouse (1918)
Cecily Parsley's Nursery Rhymes (1922)","[{'author_id': '11593', 'role': ''}]",,20631173,848,39918895,Beatrix Potter Illustrated Collection,Beatrix Potter Illustrated Collection,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,8,3.35,"Teddy's Camp: On a Bearish Adventure into the Woods
""Teddy gets on the bus to start off for camp, sad to part.""
Teddy takes his adventure to the next level - off to summer camp to meet new friends and explore the woods. Follow along and you'll see that every step away will bring you closer to home. Isn't it exciting?
Experience the wonders of summer camp with Teddy and his new friends:
* Meet some crazy counselors
* Stay in a cabin
* Swim to your heart's content
* Take a grassy nap
* Make tie-dye t-shirts
* Sail away with the wind at your tail
* Race the waves with your friends
* Horseback riding, Woo Hoo!
* Campfires and songs galore
Take the journey with Teddy on his first trip away from home... off to summer camp for to make new friends from all over the world and together go on new adventures.
Cast of Characters:
Teddy R. LeBear
Benjamin Ursinae Brown
Kenneth C. Koala
William B. Polar
Evan Hwan-ung Moon
With guest appearances by:
Mom - the coolest bear of them all
Counselor Kieth ""Grizzly Tail"" Kodiak
Author bio:
A world traveler and avid cyclist, Peter Liptak loves to say ""WOO HOO!"" and knows that the simple experiences in life hold the greatest adventures. He explored many interests at the University of Minnesota, from the wonders of Astronomy and Anthropology to philosophy and poetics, before graduating with BA in English Literature and History. Peter learned new skills as a preschool teacher, waiter, dance instructor and massage therapist while in school, and has worked as an actor, teacher, and writer since. Living in Korea, he studied Korean History, receiving his Master's from Yonsei University in Seoul and helps Korean children visit summer camp in the US to explore a new culture for themselves.
Discovering the beauty of each moment and always open to new possibilities, he began his bicycle adventures early, often venturing out with his sister on rickety yellow bikes meant for adults. Such memories inspired him to venture ever further, journeying through Europe and across Asia, finding adventure on two wheels and even testing his mettle in Ironman triathlons and desert races. Follow along with the travels of Peter and Teddy at www.teddytracks.comor download an MP3 at www.littlebearbooks.com""WOO HOO!""","[{'author_id': '4079655', 'role': ''}, {'author_id': '4387853', 'role': 'Illustrator'}]",,33808858,30,54714610,Teddy's Camp: On a Bearish Adventure into the Woods: (Teddy's First Time Away from Home) (TeddyTracks Book 2),Teddy's Camp: On a Bearish Adventure into the Woods: (Teddy's First Time Away from Home) (TeddyTracks Book 2),,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,1,3.88,"Luego del exito mundial del libro que relata la historia de la filosofia como una novela, llega ahora este magnifico CD ROM que aprovecha las ventajas del hipertexto y logra que el lector participe como otro protagonista mas de la historia. La accion transcurre en Dyaus, universo electronico experimental de filosofia- y el desafio es viajar virtualmente a traves de las ideas filosoficas de los ultimos tres mil anos.","[{'author_id': '1388082', 'role': ''}]",,1208725,8,4432325,Sophie's World,Sophie's World,0333692926,9780333692929,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,3,4.33,"The brand-new novel by Jacqueline Wilson, bestselling author of Hetty Feather.","[{'author_id': '22602', 'role': ''}, {'author_id': '150121', 'role': 'Illustrator'}]",,28580182,81,48654569,Clover Moon,Clover Moon,,,https://images.gr-assets.com/books/1475320045m/28580182.jpg
